Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
113,113.0,113.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1901,2225,2122,02 May 2022,2022,May,2,2022-05-02
114,114.0,114.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2111,2111,2111,14 Mar 2022,2022,Mar,14,2022-03-14
115,115.0,115.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1725,1820,1800,20 Oct 2021,2021,Oct,20,2021-10-20
116,116.0,116.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1750,1811,1811,03 Sep 2021,2021,Sep,3,2021-09-03
117,117.0,117.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1765,1765,1765,30 Oct 2021,2021,Oct,30,2021-10-30
118,118.0,118.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1900,1900,1900,28 Dec 2021,2021,Dec,28,2021-12-28
119,119.0,119.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2125,2150,2150,29 Mar 2022,2022,Mar,29,2022-03-29
120,120.0,120.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2159,2257,2159,07 Jun 2022,2022,Jun,7,2022-06-07
121,121.0,121.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1611,1611,1611,04 Aug 2022,2022,Aug,4,2022-08-04
122,122.0,122.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1671,1671,1671,29 Mar 2022,2022,Mar,29,2022-03-29
123,123.0,123.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1719,1836,1719,20 Oct 2021,2021,Oct,20,2021-10-20
124,124.0,124.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2000,2100,2100,08 Mar 2022,2022,Mar,8,2022-03-08
125,125.0,125.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2203,2206,2203,08 Jul 2022,2022,Jul,8,2022-07-08
126,126.0,126.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2212,2212,2212,29 Jun 2022,2022,Jun,29,2022-06-29
127,127.0,127.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2222,2222,2222,04 Jul 2022,2022,Jul,4,2022-07-04
128,128.0,128.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2301,2319,2319,23 Apr 2022,2022,Apr,23,2022-04-23
129,129.0,129.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2601,2601,2601,16 Mar 2022,2022,Mar,16,2022-03-16
130,130.0,130.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1729,1729,1729,12 Oct 2021,2021,Oct,12,2021-10-12
131,131.0,131.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1775,1775,1775,21 Sep 2021,2021,Sep,21,2021-09-21
132,132.0,132.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1789,1789,1789,20 Sep 2021,2021,Sep,20,2021-09-20
133,133.0,133.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1825,1825,1825,11 Sep 2021,2021,Sep,11,2021-09-11
134,134.0,134.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1875,1930,1920,13 Dec 2021,2021,Dec,13,2021-12-13
135,135.0,135.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1929,1951,1951,13 Jan 2022,2022,Jan,13,2022-01-13
136,136.0,136.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,1950,1950,1950,21 Feb 2022,2022,Feb,21,2022-02-21
137,137.0,137.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2000,2189,2189,24 Mar 2022,2022,Mar,24,2022-03-24
138,138.0,138.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2150,2195,2195,12 Apr 2022,2022,Apr,12,2022-04-12
139,139.0,139.0,Medak,Zaheerabad,Wheat,147 Average,FAQ,2326,2380,2326,29 Apr 2022,2022,Apr,29,2022-04-29
140,140.0,140.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,1801,1801,1801,19 Jan 2022,2022,Jan,19,2022-01-19
141,141.0,141.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2011,2011,2011,25 Mar 2022,2022,Mar,25,2022-03-25
142,142.0,142.0,Medak,Sadasivpet,Wheat,147 Average,FAQ,2022,2022,2022,28 Mar 2022,2022,Mar,28,2022-03-28
