Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Visakhapatnam,Visakhapatnam,Masur Dal,Other,Medium,5900,6100,6068,28 Dec 2015,2015,Dec,28,2015-12-28
1,,Visakhapatnam,Visakhapatnam,Masur Dal,Other,Medium,5900,6100,6068,28 Dec 2015,2015,Dec,28,2015-12-28
