Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
36,36.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5274,6031,5652,19 Apr 2017,2017,Apr,19,2017-04-19
37,37.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5300,5593,5446,25 Mar 2017,2017,Mar,25,2017-03-25
38,38.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5301,5485,5393,04 Apr 2017,2017,Apr,4,2017-04-04
39,39.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5301,5601,5451,12 Apr 2017,2017,Apr,12,2017-04-12
40,40.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5321,5411,5366,06 Apr 2017,2017,Apr,6,2017-04-06
41,41.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5351,5501,5426,05 Apr 2017,2017,Apr,5,2017-04-05
42,42.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5371,6201,5786,17 Apr 2017,2017,Apr,17,2017-04-17
43,43.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5385,6201,5793,14 Apr 2017,2017,Apr,14,2017-04-14
44,44.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5401,5541,5471,22 Mar 2017,2017,Mar,22,2017-03-22
45,45.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5401,5575,5488,15 Apr 2017,2017,Apr,15,2017-04-15
46,46.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5401,6092,5746,18 Apr 2017,2017,Apr,18,2017-04-18
47,47.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5412,6255,5833,13 Apr 2017,2017,Apr,13,2017-04-13
