Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
47,47.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,1300,1200,16 Jun 2017,2017,Jun,16,2017-06-16
48,48.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,1300,1200,17 Jun 2017,2017,Jun,17,2017-06-17
49,49.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,1300,1200,19 Jun 2017,2017,Jun,19,2017-06-19
50,50.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,1300,1200,24 Jun 2017,2017,Jun,24,2017-06-24
51,51.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,2200,1650,28 Aug 2017,2017,Aug,28,2017-08-28
52,52.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,2500,1800,29 Aug 2017,2017,Aug,29,2017-08-29
53,53.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,3000,2050,19 Aug 2017,2017,Aug,19,2017-08-19
54,54.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1100,3000,2200,22 Aug 2017,2017,Aug,22,2017-08-22
55,55.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1200,1400,1300,22 Jun 2017,2017,Jun,22,2017-06-22
56,56.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1200,2800,2000,30 Aug 2017,2017,Aug,30,2017-08-30
57,57.0,Papum Pore,Naharlagun,Potato,Potato,FAQ,1500,1700,1600,04 Jul 2017,2017,Jul,4,2017-07-04
58,58.0,Tirap,Khonsa,Potato,Other,FAQ,850,880,850,01 Apr 2015,2015,Apr,1,2015-04-01
59,59.0,Tirap,Khonsa,Potato,Other,FAQ,850,880,850,27 Apr 2015,2015,Apr,27,2015-04-27
60,60.0,Tirap,Khonsa,Potato,Other,FAQ,850,880,850,30 Apr 2015,2015,Apr,30,2015-04-30
61,61.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,01 May 2015,2015,May,1,2015-05-01
62,62.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,05 May 2015,2015,May,5,2015-05-05
63,63.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,06 May 2015,2015,May,6,2015-05-06
64,64.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,07 Apr 2015,2015,Apr,7,2015-04-07
65,65.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,11 May 2015,2015,May,11,2015-05-11
66,66.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,13 Apr 2015,2015,Apr,13,2015-04-13
67,67.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,18 May 2015,2015,May,18,2015-05-18
68,68.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,20 Apr 2015,2015,Apr,20,2015-04-20
69,69.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,22 Apr 2015,2015,Apr,22,2015-04-22
70,70.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,28 Apr 2015,2015,Apr,28,2015-04-28
71,71.0,Tirap,Khonsa,Potato,Other,FAQ,850,900,850,31 Mar 2015,2015,Mar,31,2015-03-31
72,72.0,Tirap,Khonsa,Potato,Other,FAQ,860,900,860,09 May 2015,2015,May,9,2015-05-09
73,73.0,Tirap,Khonsa,Potato,Other,FAQ,860,900,860,12 May 2015,2015,May,12,2015-05-12
74,74.0,Tirap,Khonsa,Potato,Other,FAQ,860,900,860,13 May 2015,2015,May,13,2015-05-13
75,75.0,Tirap,Khonsa,Potato,Other,FAQ,860,900,860,16 May 2015,2015,May,16,2015-05-16
76,76.0,Tirap,Khonsa,Potato,Other,FAQ,860,900,860,20 May 2015,2015,May,20,2015-05-20
77,77.0,Tirap,Khonsa,Potato,Other,FAQ,870,900,870,04 May 2015,2015,May,4,2015-05-04
78,78.0,Tirap,Khonsa,Potato,Other,FAQ,870,900,870,07 May 2015,2015,May,7,2015-05-07
79,79.0,Tirap,Khonsa,Potato,Other,FAQ,870,900,870,08 May 2015,2015,May,8,2015-05-08
80,80.0,Tirap,Khonsa,Potato,Other,FAQ,870,900,870,29 Apr 2015,2015,Apr,29,2015-04-29
81,81.0,Tirap,Khonsa,Potato,Other,FAQ,870,920,870,25 May 2015,2015,May,25,2015-05-25
82,82.0,Tirap,Khonsa,Potato,Other,FAQ,870,920,870,26 May 2015,2015,May,26,2015-05-26
83,83.0,Tirap,Khonsa,Potato,Other,FAQ,875,900,875,06 Apr 2015,2015,Apr,6,2015-04-06
84,84.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,08 Apr 2015,2015,Apr,8,2015-04-08
85,85.0,Tirap,Khonsa,Potato,Other,FAQ,880,900,880,09 Apr 2015,2015,Apr,9,2015-04-09
