Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
40,40.0,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3200,3200,3200,22 Feb 2018,2018,Feb,22,2018-02-22
41,41.0,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3200,3200,3200,28 Feb 2018,2018,Feb,28,2018-02-28
42,42.0,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3215,3215,3215,26 Mar 2018,2018,Mar,26,2018-03-26
43,43.0,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3300,3300,3300,22 Mar 2018,2018,Mar,22,2018-03-22
44,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2650,2650,2650,30 Jan 2018,2018,Jan,30,2018-01-30
45,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2700,2700,2700,02 Dec 2017,2017,Dec,2,2017-12-02
46,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2770,2770,2770,11 Jan 2018,2018,Jan,11,2018-01-11
47,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2825,2825,2825,03 Feb 2018,2018,Feb,3,2018-02-03
48,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2850,3260,2850,24 Feb 2018,2018,Feb,24,2018-02-24
49,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2880,2880,2880,23 Jan 2018,2018,Jan,23,2018-01-23
50,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,2900,2900,16 Mar 2018,2018,Mar,16,2018-03-16
51,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2925,3070,3070,18 Jan 2018,2018,Jan,18,2018-01-18
52,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2955,2955,2955,02 Feb 2018,2018,Feb,2,2018-02-02
53,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2965,2965,2965,08 Dec 2017,2017,Dec,8,2017-12-08
54,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3000,3000,3000,31 Jan 2018,2018,Jan,31,2018-01-31
55,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3000,3100,3050,14 Mar 2018,2018,Mar,14,2018-03-14
56,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3070,3270,3270,27 Mar 2018,2018,Mar,27,2018-03-27
57,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3105,3105,3105,24 Mar 2018,2018,Mar,24,2018-03-24
58,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3125,3265,3265,05 Apr 2018,2018,Apr,5,2018-04-05
59,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3155,3455,3155,20 Mar 2018,2018,Mar,20,2018-03-20
60,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3200,3200,3200,22 Feb 2018,2018,Feb,22,2018-02-22
61,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3200,3200,3200,28 Feb 2018,2018,Feb,28,2018-02-28
62,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3215,3215,3215,26 Mar 2018,2018,Mar,26,2018-03-26
63,,,Fazilka,Abohar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3300,3300,3300,22 Mar 2018,2018,Mar,22,2018-03-22
