Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
215,215.0,215.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,31 Jul 2024,2024,Jul,31,2024-07-31
216,216.0,216.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,05 Jun 2024,2024,Jun,5,2024-06-05
217,217.0,217.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,02 Jul 2024,2024,Jul,2,2024-07-02
218,218.0,218.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,06 Aug 2024,2024,Aug,6,2024-08-06
219,219.0,219.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4200,4000,12 Aug 2024,2024,Aug,12,2024-08-12
220,220.0,220.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,06 Aug 2024,2024,Aug,6,2024-08-06
221,221.0,221.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4200,4000,28 May 2024,2024,May,28,2024-05-28
222,222.0,222.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,12 Jun 2024,2024,Jun,12,2024-06-12
223,223.0,223.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4500,4000,21 Aug 2024,2024,Aug,21,2024-08-21
224,224.0,224.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4200,4000,05 Jun 2024,2024,Jun,5,2024-06-05
225,225.0,225.0,Adilabad,Jainath,Gur(Jaggery),Achhu,FAQ,3620,3820,3720,31 Dec 2023,2023,Dec,31,2023-12-31
226,226.0,226.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4200,4000,27 May 2024,2024,May,27,2024-05-27
227,227.0,227.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,11 Jun 2024,2024,Jun,11,2024-06-11
228,228.0,228.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,20 Jul 2024,2024,Jul,20,2024-07-20
229,229.0,229.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,08 Jul 2024,2024,Jul,8,2024-07-08
230,230.0,230.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,30 May 2024,2024,May,30,2024-05-30
231,231.0,231.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,05 Aug 2024,2024,Aug,5,2024-08-05
232,232.0,232.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,10 Jun 2024,2024,Jun,10,2024-06-10
233,233.0,233.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Jul 2024,2024,Jul,1,2024-07-01
234,234.0,234.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Aug 2024,2024,Aug,1,2024-08-01
235,235.0,235.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,21 Jun 2024,2024,Jun,21,2024-06-21
236,236.0,236.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,31 Jul 2024,2024,Jul,31,2024-07-31
237,237.0,237.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,01 Aug 2024,2024,Aug,1,2024-08-01
238,238.0,238.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,09 Jul 2024,2024,Jul,9,2024-07-09
239,239.0,239.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,21 Jun 2024,2024,Jun,21,2024-06-21
240,240.0,240.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4400,4000,27 Jul 2024,2024,Jul,27,2024-07-27
241,241.0,241.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,20 Jul 2024,2024,Jul,20,2024-07-20
242,242.0,242.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,02 Jul 2024,2024,Jul,2,2024-07-02
243,243.0,243.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4300,4000,12 Jul 2024,2024,Jul,12,2024-07-12
244,244.0,244.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4300,4000,12 Jul 2024,2024,Jul,12,2024-07-12
245,245.0,245.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,4200,4000,28 May 2024,2024,May,28,2024-05-28
246,246.0,246.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4200,4000,12 Aug 2024,2024,Aug,12,2024-08-12
247,247.0,247.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,3000,4200,4000,22 May 2024,2024,May,22,2024-05-22
